Family	number	species	class
GH1	1	Tilletia horrida	Cellulose Degrading Enzymes
GH3	2	Tilletia horrida	Cellulose Degrading Enzymes
GH5	14	Tilletia horrida	Cellulose Degrading Enzymes
GH6	0	Tilletia horrida	Cellulose Degrading Enzymes
GH7	0	Tilletia horrida	Cellulose Degrading Enzymes
GH45	1	Tilletia horrida	Cellulose Degrading Enzymes
GH61	0	Tilletia horrida	Cellulose Degrading Enzymes
GH10	0	Tilletia horrida	Hemi-cellulose Degrading Enzymes
GH11	0	Tilletia horrida	Hemi-cellulose Degrading Enzymes
GH12	0	Tilletia horrida	Hemi-cellulose Degrading Enzymes
GH16	12	Tilletia horrida	Hemi-cellulose Degrading Enzymes
GH43	0	Tilletia horrida	Hemi-cellulose Degrading Enzymes
GH51	0	Tilletia horrida	Hemi-cellulose Degrading Enzymes
GH54	0	Tilletia horrida	Hemi-cellulose Degrading Enzymes
GH74	0	Tilletia horrida	Hemi-cellulose Degrading Enzymes
GH81	0	Tilletia horrida	Hemi-cellulose Degrading Enzymes
CE8	0	Tilletia horrida	Pectin Degrading Enzymes
PL9	0	Tilletia horrida	Pectin Degrading Enzymes
PL4	0	Tilletia horrida	Pectin Degrading Enzymes
PL3	0	Tilletia horrida	Pectin Degrading Enzymes
PL1	1	Tilletia horrida	Pectin Degrading Enzymes
GH88	0	Tilletia horrida	Pectin Degrading Enzymes
GH28	5	Tilletia horrida	Pectin Degrading Enzymes
GH1	2	Magnaporthe oryzae	Cellulose Degrading Enzymes
GH3	18	Magnaporthe oryzae	Cellulose Degrading Enzymes
GH5	13	Magnaporthe oryzae	Cellulose Degrading Enzymes
GH6	3	Magnaporthe oryzae	Cellulose Degrading Enzymes
GH7	6	Magnaporthe oryzae	Cellulose Degrading Enzymes
GH45	1	Magnaporthe oryzae	Cellulose Degrading Enzymes
GH61	21	Magnaporthe oryzae	Cellulose Degrading Enzymes
GH10	6	Magnaporthe oryzae	Hemi-cellulose Degrading Enzymes
GH11	5	Magnaporthe oryzae	Hemi-cellulose Degrading Enzymes
GH12	3	Magnaporthe oryzae	Hemi-cellulose Degrading Enzymes
GH16	17	Magnaporthe oryzae	Hemi-cellulose Degrading Enzymes
GH43	18	Magnaporthe oryzae	Hemi-cellulose Degrading Enzymes
GH51	3	Magnaporthe oryzae	Hemi-cellulose Degrading Enzymes
GH54	1	Magnaporthe oryzae	Hemi-cellulose Degrading Enzymes
GH74	1	Magnaporthe oryzae	Hemi-cellulose Degrading Enzymes
GH81	2	Magnaporthe oryzae	Hemi-cellulose Degrading Enzymes
CE8	1	Magnaporthe oryzae	Pectin Degrading Enzymes
PL9	0	Magnaporthe oryzae	Pectin Degrading Enzymes
PL4	1	Magnaporthe oryzae	Pectin Degrading Enzymes
PL3	1	Magnaporthe oryzae	Pectin Degrading Enzymes
PL1	2	Magnaporthe oryzae	Pectin Degrading Enzymes
GH88	1	Magnaporthe oryzae	Pectin Degrading Enzymes
GH28	4	Magnaporthe oryzae	Pectin Degrading Enzymes
