ARO	ID	Name	NCBI
3002999	g2	CblA-1	GQ343019
3001109	g4	SHV-52	HQ845196
3002867	g5	dfrF	AF028812
3001989	g7	CTX-M-130	JX017365
3002356	g8	NDM-6	JN967644
3001855	g9	ACT-35	LC004922
3002244	g10	CARB-5	AF135373
3000600	g11	Erm(34)	AY234334
3000988	g12	TEM-126	AY628199
3002511	g13	LRA-12	EU408351
3000938	g14	TEM-72	AF157553
3000928	g15	TEM-59	AF062386
3002320	g16	KPC-10	GQ140348
3001711	g18	OXA-212	JN861780
3002193	g19	IMP-2	AJ243491
3002012	g20	CMY-1	X92508
3001517	g21	OXA-329	KF203103
3001832	g22	ACT-10	JN848330
3001557	g23	OXA-371	AB871653
3003552	g24	fusB	AY047358
3001980	g25	CTX-M-121	JN790862
3002372	g26	VEB-3	AY536519
3002835	g27	lnuA	M14039.1
3001794	g28	OXA-45	AJ519683
3001800	g30	OXA-226	FJ617207
3003163	g31	CTX-M-155	KM211508
3002146	g32	DHA-15	KM087853
3003109	g33	msrE	EU294228.1
3002415	g34	OXY-6-3	AJ871876
3002804	g35	FosA2	EU487198
3002649	g38	APH(3')-Va	K00432
3002528	g39	AAC(3)-Ia	U12338
3002771	g40	QnrB58	JX259319
3003198	g41	rmtH	KC544262
3002413	g42	OXY-6-1	AJ871874
3000504	g44	golS	AE006468.2
3003550	g45	mdtP	AP009048.1
3002125	g46	CMY-114	KM087846
3001808	g47	OXA-60	AF525303
3001650	g48	OXA-90	AM231719
3002380	g50	SME-2	AF275256
3002538	g51	AAC(3)-IIIc	L06161
3002397	g52	OXY-2-2	AF473577
3002188	g53	MOX-5	GQ152600
3000904	g54	TEM-34	KC292503
3001617	g55	OXA-69	CU459141.1
3000879	g56	TEM-7	AF527798.1
3001082	g57	SHV-24	AB023477
3002762	g58	QnrB47	JX440358
3001502	g59	OXA-256	HE616889
3002795	g60	QnrS6	HQ631376
3001518	g61	OXA-330	KF203104
3002053	g62	CMY-42	HM146927
3002546	g63	AAC(6')-Ib	JQ808129
3002083	g64	CMY-70	JX440350
3002350	g65	GES-21	JQ772478
3001099	g66	SHV-41	AF535129
3001577	g67	OXA-391	KJ427797
3000996	g68	TEM-132	AY491682
3002620	g69	aadA23	AJ809407
3002360	g70	NDM-10	KF361506
3002778	g71	QnrB66	KC580655
3001100	g72	SHV-42	AF535130
3001429	g73	OXA-35	AF315786
3001076	g74	SHV-18	AF132290
3003026	g75	fusH	Z50108
3001133	g76	SHV-79	AM176554
3000916	g77	TEM-47	Y10279
3000887	g78	TEM-16	X65254
3002307	g79	VIM-37	JX982636
3001849	g80	ACT-29	KM087832
3002157	g81	FOX-3	Y11068
3002366	g82	PER-4	EU748544
3000845	g84	GIM-1	AJ620678
3002233	g85	IMP-42	AB753456
3000965	g86	TEM-102	AY040093
3000979	g87	TEM-116	U36911.1
3002066	g88	CMY-55	HM544040
3002955	g89	vanYA	M97297
3000508	g91	gadX	AP009048.1
3001904	g92	CTX-M-42	DQ061159
3001154	g93	SHV-105	FJ194944
3002092	g94	CMY-79	JQ733576
3002067	g95	CMY-56	HQ322613
3003149	g96	OXA-426	KM588354
3002966	g97	vanXYC	AF162694
3002059	g98	CMY-48	HM569226
3002753	g99	QnrB38	JN173060
3000972	g101	TEM-109	AY628175
3003203	g102	TLA-2	AJ698325.1
3001071	g103	SHV-12	AJ920369
3001773	g104	OXA-61	AY587956
3002243	g105	CARB-4	U14749
3002681	g106	catB9	AF462019
3000912	g107	TEM-43	U95363
3002507	g108	PDC-8	FJ666071
3000326	g109	ErmE	X51891
3002565	g110	AAC(6')-Iu	AF031329
3003209	g112	FosA5	KP143090.1
3002375	g113	VEB-5	EF420108
3003012	g114	dfrA13	Z50802
3000954	g115	TEM-87	AF250872
3002733	g116	QnrB18	AM919399
3002488	g118	LRA-9	EU408350.1
3002282	g119	VIM-12	DQ143913
3002604	g120	aadA4	AY138986
3000796	g121	mdtF	U00096
3002304	g122	VIM-34	JX013656
3001119	g123	SHV-64	DQ174304
3002263	g124	IND-7	AB529520
3001364	g125	SHV-182	KP050489
3001045	g126	TEM-183	HQ529916
3002815	g127	clbB	AP008955.1
3002828	g128	srmB	X63451
3000198	g129	FosX	FFFO01000009.1
3001972	g130	CTX-M-112	JF274246
3001912	g131	CTX-M-50	AY847146
3001057	g132	TEM-198	AB700703
3002853	g133	arr-8	KC199968
3002883	g134	rgt1438	JX028276.1
3002383	g135	SME-5	KJ188748
3002020	g136	CMY-9	AB061794
3002634	g137	APH(2'')-Ie	AY939911
3002690	g138	Streptomyces_lividans_cmlR	X59968
3002724	g139	QnrB10	DQ631414
3002595	g140	AAC(6')-IIb	L06163
3002921	g141	vanRB	U35369
3003103	g143	cphA7	AY227053.1
3002203	g144	IMP-12	AJ420864
3001692	g145	OXA-229	JQ422052
3001646	g146	OXA-98	AM279652
3001422	g147	OXA-27	AF201828.2
3001144	g148	SHV-92	DQ836922
3002612	g149	aadA12	FJ381668
3002676	g150	catB3	JX101693.1
3002432	g151	OKP-A-15	FJ755841
3000830	g152	cpxA	BA000007.3
3000777	g153	adeF	CT025801.2
3000815	g154	mgrA	BA000018.3
3001055	g155	TEM-195	JN935137
3002574	g156	AAC(6')-Iaf	AB462903
3003017	g157	dfrA21	AM932669
3001300	g158	myrA	D16099
3002830	g159	vgaALC	DQ823382
3001677	g160	OXA-236	JQ820242
3001112	g161	SHV-56	EU586041
3002318	g162	KPC-8	FJ234412
3001562	g163	OXA-376	KF986257
3002912	g164	vanN	JF802084
3002299	g165	VIM-29	JX311308
3000572	g43	tet(42)	EU523697
3003196	g17	tet(45)	JF837330.1
3000173	g142	tet(E)	L06940
3003060	g49	tsnR	L39157.1
3002050	g167	CMY-39	AB372224
3002287	g168	VIM-17	EU118148
3002224	g169	IMP-33	JN848782
3002210	g170	IMP-19	EF118171
3000944	g171	TEM-78	AF190693
3002849	g173	arr-4	EF660562
3003002	g174	CfxA2	AF118110.1
3001886	g175	CTX-M-24	AY143430
3002036	g176	CMY-25	EU515249
3003659	g177	IMP-51	LC031883
3002942	g178	vanHA	M97297
3002711	g179	QnrA5	DQ058663
3002150	g180	DHA-19	KM087849
3002343	g181	GES-14	GU207844
3000839	g182	arlS	CP000253.1
3000549	g183	adeS	HM440348
3002514	g184	OCH-1	AJ401618
3001778	g185	OXA-232	JX423831
3001407	g186	OXA-12	U10251
3001535	g187	OXA-348	KF297577
3001141	g188	SHV-89	DQ193536
3001881	g189	CTX-M-19	AF325134
3001480	g190	OXA-195	HQ425493
3001814	g191	OXA-199	JN704570
3001900	g192	CTX-M-38	AY822595
3000983	g193	TEM-121	AY271267
3001116	g194	SHV-61	AJ866284
3001919	g195	CTX-M-58	EF210159
3001918	g197	CTX-M-56	EF374097
3001002	g198	TEM-138	AY853593
3002493	g199	SRT-1	AB008454
3002477	g200	LEN-14	AY265889
3002516	g201	OCH-3	AJ295341
3001150	g202	SHV-101	EU155018
3002403	g203	OXY-2-8	AY055205
3003179	g204	VIM-43	KP096412
3002655	g205	APH(4)-Ia	V01499
3000423	g206	FomA	AB016934
3002341	g207	GES-12	FN554543
3002117	g208	CMY-105	KJ207205
3002600	g209	AAC(3)-Ib/AAC(6')-Ib''	AF355189
3001093	g210	SHV-35	AY070258
3001383	g211	TEM-206	KC783461
3001416	g213	OXA-21	Y10693
3001168	g214	SHV-121	HQ661362
3003250	g215	bcrC	L20573
3002459	g216	LEN-9	CP016344.1
3002949	g217	vanXA	M97297
3002665	g218	npmA	AB261016
3002429	g219	OKP-A-12	AM850916
3000959	g220	TEM-92	AF143804
3002112	g221	CMY-100	KF526113
3000840	g222	JOHN-1	AY028464
3002332	g223	GES-3	AB113580
3002168	g224	MIR-2	AY227752
3001948	g225	CTX-M-88	NZ_SQNR01000043.1
3001644	g226	OXA-113	EF653400
3002436	g227	OKP-B-3	AM051152
3000826	g228	sdiA	AE006468.2
3002973	g229	vanTmL	EU250284
3003160	g230	OXA-422	KM433671
3001472	g231	OXA-178	HM113564
3003094	g232	imiH	AJ548797
3002468	g233	LEN-21	AM850911
3002797	g234	QnrS8	KF730652
3001784	g235	OXA-181	JN205800
3001840	g236	ACT-19	KF992029
3001181	g238	SHV-137	HQ661363
3001623	g239	OXA-83	DQ309277
3002925	g240	vanRF	AF155139
3001850	g241	ACT-30	KM087833
3001191	g242	SHV-152	JX121119
3001404	g243	OXA-9	M55547
3001347	g244	SHV-164	HE981194
3002695	g245	cmlA5	AY115475
3001985	g246	CTX-M-126	AB703103
3001024	g247	TEM-158	EF534736
3002442	g248	OKP-B-9	AM051159
3004605	g3303	ermZ	AM709783.1
